Year,Minority,Major,Programming,Programming.Affinity,Statistics,Letter.Grade,Requirement,Birthday,Extrovert,People.Texted,Hours.of.Sleep,Handedness,Sleep.Position,Pets,Piercings,Languages
First Year,No,Data Science,True,4,False,Yes,Yes,10/21,5,4,6,Right-handed,On your left side,False,2,2
First Year,No,Civil Engineering,False,4,True,Yes,Yes,8/20,6,12,8,Right-handed,On your left side,True,0,2
Second Year,No,"Data Science, Art Practice",True,3,True,Yes,Yes,9/7,3,3,8,Right-handed,On your back,False,0,3
Second Year,No,Material Science and Engineering,True,3,True,Yes,No,2/8,5,8,6,Right-handed,On your left side,True,10,3
First Year,No,Data Science,True,2,True,Yes,Yes,10/17,5,5,7,Right-handed,On your right side,True,0,5
First Year,No,"Data Science, Economics",True,3,True,Yes,Yes,6/29,7,11,7.5,Right-handed,On your right side,False,0,3
First Year,Yes,Civil Engineering,True,3,False,Yes,Yes,12/8,8,12,7,Right-handed,On your left side,False,0,2
First Year,No,Cognitive Science,True,3,False,Yes,Yes,2/4,8,12,7,Right-handed,On your back,False,1,2
Third Year,No,Data Science,False,1,True,Yes,Yes,7/12,3,3,8,Right-handed,On your right side,False,0,3
Second Year,No,Civil Engineering,False,1,False,Yes,Yes,1/7,9,10,7,Right-handed,On your stomach,True,5,2
First Year,No,Data Science,True,4,False,Yes,Yes,9/28,3,11,6,Right-handed,On your right side,False,0,4
First Year,Yes,"Applied Math, Computer Science",True,5,True,Yes,Yes,11/9,6,11,8,Right-handed,On your right side,False,2,3
First Year,No,Economics,True,1,True,Yes,Yes,4/23,6,6,8,Right-handed,On your back,True,0,1
First Year,No,Data Science,True,4,True,Yes,Yes,4/29,5,10,6,Right-handed,On your stomach,False,0,1
First Year,I don't know,Data Science,True,3,True,Yes,Yes,11/6,3,5,7,Right-handed,On your left side,False,0,3
First Year,No,Undecided,False,2,False,Yes,Yes,11/10,8,6,6,Right-handed,On your back,True,0,3
Third Year,Yes,Civil engineering,False,4,False,Yes,Yes,11/8,9,4,7,Left-handed,On your right side,True,4,6
First Year,I don't know,Business,True,1,True,Yes,I don't know,5/1,5,3,7,Right-handed,On your right side,True,1,3
Third Year,I don't know,Microbial biology,True,1,True,Yes,Yes,7/13,5,5,7,Right-handed,On your right side,True,5,1
First Year,No,Data Science,True,5,True,Yes,Yes,9/13,5,5,5,Right-handed,On your right side,False,0,2
First Year,No,Data Science,True,4,True,Yes,Yes,4/14,8,10,8.5,Right-handed,On your back,False,0,3
First Year,I don't know,Statistics,True,2,True,Yes,Yes,5/30,3,4,6,Right-handed,On your stomach,True,2,3
Second Year,No,Undecided,True,2,False,Yes,Yes,12/17,4,3,8,Right-handed,On your back,True,0,2
Second Year,I don't know,"Psychology, Film",False,1,True,Yes,Yes,1/10,5,7,5,Right-handed,On your back,False,0,4
First Year,No,Data Science,True,3,True,Yes,Yes,3/11,7,12,6,Right-handed,On your back,False,0,3
Third Year,Yes,Data Science,True,3,False,Yes,Yes,1/17,5,3,7,Left-handed,On your stomach,True,0,3
First Year,Yes,Data Science,True,4,True,Yes,Yes,6/12,3,3,6,Right-handed,On your right side,True,0,2
First Year,No,Business,True,4,True,Yes,Yes,4/8,7,7,8,Right-handed,On your left side,True,0,2
Third Year,Yes,Statistics,False,1,True,Yes,Yes,6/30,8,5,7,Right-handed,On your right side,True,0,3
First Year,I don't know,Civil Engineering,False,1,False,Yes,Yes,6/12,4,6,7.5,Right-handed,On your left side,True,0,3
First Year,Yes,Civil Engineering ,False,1,False,Yes,Yes,8/3,6,5,8,Right-handed,On your right side,True,6,2
First Year,No,Data Science,True,4,True,Yes,Yes,9/15,7,6,7,Right-handed,On your back,True,1,2
First Year,I don't know,Data Science,True,3,True,Yes,Yes,11/24,2,5,6,Right-handed,On your right side,True,2,5
Second Year,Yes,Cognitive Science,False,1,True,Yes,Yes,3/31,4,5,8,Right-handed,On your left side,True,5,2
Third Year,No,"Applied Math, Statistics",True,2,True,Yes,Yes,2/6,6,15,7,Right-handed,On your back,True,0,2
First Year,No,"Applied Math, Computer Science, Public Health",True,4,True,Yes,Yes,1/28,4,10,7,Right-handed,On your back,True,4,5
Third Year,No,"Data Science, Molecular and Cell Biology",True,5,True,Yes,Yes,1/12,3,6,8,Right-handed,On your right side,False,0,6
First Year,I don't know,"Business, Data Science",True,4,True,Yes,Yes,10/2,6,10,7,Right-handed,On your stomach,False,0,3
First Year,Yes,Cognitive Science,True,2,False,Yes,Yes,4/10,6,10,7,Right-handed,On your back,False,4,5
Fourth Year,No,Political Economy,False,1,True,Maybe,Yes,8/20,5,6,7.5,Right-handed,On your back,True,2,8
Fourth Year,No,EECS,True,5,True,Maybe,No,10/23,4,4,10,Right-handed,On your right side,False,0,3
Third Year,I don't know,Computer Science,True,4,True,Yes,Yes,7/16,8,3,6,Right-handed,On your right side,True,0,2
Second Year,Yes,Analytics (previously ORMS),True,3,False,Yes,Yes,2/7,6,6,7,Right-handed,On your right side,True,2,3
Second Year,Yes,Cognitive Science,True,5,False,No,Yes,12/20,4,2,5,Right-handed,On your back,True,0,2
First Year,Yes,Data Science,True,5,True,Yes,Yes,12/6,7,6,7.5,Right-handed,On your left side,False,0,5
Third Year,Yes,Data Science,True,5,True,Yes,Yes,1/11,8,5,7,Right-handed,On your stomach,False,0,2
Third Year,Yes,Computer Science,True,3,True,Yes,No,6/8,5,7,7,Right-handed,On your back,True,8,3
Third Year,I don't know,Music,False,1,False,Maybe,I don't know,10/2,2,5,7,Right-handed,On your right side,False,4,2
Second Year,No,Cognitive Science,False,1,False,Yes,Yes,10/1,3,3,8,Right-handed,On your back,False,0,4
Third Year,Yes,Statistics,False,3,True,Yes,Yes,5/30,4,3,7,Right-handed,On your stomach,True,0,4
Second Year,No,"Data Science, Molecular and Cell Biology",False,3,False,Yes,Yes,12/6,8,8,7,Right-handed,On your right side,True,0,3
First Year,Yes,Civil Engineering,False,4,False,Yes,Yes,8/9,7,10,8,Right-handed,On your back,True,0,3
Third Year,Yes,Applied Math,False,2,True,Yes,Yes,3/15,2,3,8,Right-handed,On your left side,True,1,2
Third Year,No,Applied Math,True,5,True,Yes,Yes,8/26,3,20,6,Right-handed,On your back,False,0,4
Fourth Year,I don't know,Statistics,True,3,True,Maybe,No,8/5,4,4,6.5,Right-handed,On your right side,False,3,3
First Year,No,Civil Engineering,True,3,False,Yes,Yes,1/14,5,5,9,Right-handed,On your stomach,True,0,3
Third Year,No,Data Science,True,4,True,Yes,Yes,9/9,4,3,8,Right-handed,On your right side,False,2,4
Graduate Student,No,journalism,False,3,False,Maybe,No,12/16,3,6,7,Right-handed,On your right side,True,2,2
First Year,No,Urban Studies,False,1,True,Yes,Yes,7/26,3,3,8,Right-handed,On your back,False,0,3
First Year,No,"Data Science, Interdisciplinary Studies",True,2,True,Yes,Yes,7/14,4,4,8,Right-handed,On your back,False,0,3
First Year,No,"Computer Science, Data Science",False,3,True,Yes,Yes,4/19,4,10,9,Right-handed,On your right side,False,2,3
Graduate Student,Yes,Journalism,False,3,True,Yes,Yes,6/10,3,4,7,Right-handed,On your left side,True,0,2
Third Year,Yes,Environmental Economics and Policy,False,3,False,Yes,Yes,7/25,5,5,7,Right-handed,On your back,True,2,5
Second Year,No,Applied Math,True,2,True,Yes,Yes,7/31,8,5,7,Left-handed,On your right side,True,2,3
First Year,No,Data Science,True,5,True,Yes,Yes,9/30,3,5,5,Left-handed,On your left side,False,0,4
First Year,No,Data Science,True,4,True,Yes,Yes,11/15,5,15,5,Right-handed,On your right side,False,0,2
First Year,No,Computer Science,True,3,True,Yes,Yes,10/14,6,20,7,Right-handed,On your back,False,0,3
Fourth Year,Yes,EECS,True,5,True,Yes,No,6/9,4,2,7,Right-handed,On your right side,False,0,3
First Year,No,Statistics,True,3,True,Yes,Yes,7/9,5,2,6,Right-handed,On your left side,True,2,3
Second Year,Yes,Undecided,False,1,True,Yes,Yes,7/1,6,5,7,Right-handed,On your left side,False,2,3
Second Year,No,"Applied Math, Computer Science",True,5,True,Yes,Yes,10/15,8,4,7,Right-handed,On your left side,False,0,3
First Year,Yes,Civil Engineering,False,1,False,Yes,Yes,10/17,5,3,6,Right-handed,On your stomach,False,2,2
First Year,No,Data Science,False,3,True,Yes,Yes,4/5,3,10,6,Right-handed,On your stomach,False,0,1
First Year,No,Statistics,True,2,True,Yes,Yes,11/15,3,5,6,Right-handed,On your left side,False,2,3
First Year,I don't know,Industrial Engineering and Operations Research,True,4,True,Yes,Yes,6/28,7,8,7,Right-handed,On your left side,False,0,3
First Year,Yes,"Cognitive Science, Data Science, Undecided",False,1,False,Yes,Yes,10/19,3,4,6,Right-handed,On your left side,True,2,4
First Year,No,Business,False,1,True,Yes,Yes,4/13,8,5,7,Right-handed,On your back,True,2,2
Third Year,No,Data Science,True,3,True,Yes,Yes,5/28,5,5,8,Right-handed,On your back,False,0,4
First Year,No,CivE,True,2,True,Yes,Yes,6/26,6,6,10,Right-handed,On your left side,True,0,2
Third Year,Yes,Applied Math,False,3,False,Yes,Yes,10/5,8,4,9,Right-handed,On your left side,True,2,8
First Year,No,Data Science,True,3,False,Maybe,Yes,6/8,7,15,7,Right-handed,On your back,False,0,2
Third Year,No,Statistics,True,3,True,Yes,Yes,7/17,1,1,6,Right-handed,On your back,False,2,3
Third Year,No,Mathematics,True,5,True,Yes,No,11/18,6,7,7,Right-handed,On your left side,True,0,2
First Year,Yes,Mechanical Engineering,True,3,False,Yes,Yes,3/6,4,10,7,Right-handed,On your left side,True,0,2
First Year,Yes,Data Science,True,3,False,Yes,Yes,6/4,6,7,5,Right-handed,On your right side,True,0,2
First Year,Yes,Data Science,True,2,False,Yes,Yes,12/16,6,3,7.5,Right-handed,On your right side,False,0,3
Third Year,I don't know,Statistics,True,5,True,Yes,Yes,10/7,6,4,7,Right-handed,On your left side,False,0,3
First Year,No,"Data Science, Economics",True,4,True,Yes,Yes,12/16,9,17,7,Right-handed,On your right side,False,2,4
First Year,No,"Applied Math, Statistics",False,3,True,Yes,Yes,8/13,6,10,7,Right-handed,On your back,False,0,2
First Year,I don't know,Neuroscience,True,3,True,Yes,Yes,5/21,2,3,7,Right-handed,On your back,False,0,2
First Year,No,Cognitive Science,True,3,False,Yes,Yes,2/26,5,12,6,Right-handed,On your left side,False,5,3
First Year,No,Statistics,True,2,True,Yes,Yes,7/24,4,3,8,Right-handed,On your right side,True,0,4
First Year,I don't know,Civil Engineering,False,1,False,Yes,Yes,11/1,3,5,7.5,Left-handed,On your left side,False,5,2
Third Year,No,Molecular and Cell Biology,False,2,True,Yes,Yes,2/12,4,4,8,Right-handed,On your back,False,0,3
First Year,Yes,Civil Engineering,True,3,False,Yes,Yes,6/1,9,10,8,Right-handed,On your back,True,0,2
First Year,Yes,Data Science,True,2,False,Yes,Yes,5/2,7,3,7,Right-handed,On your right side,True,2,2
First Year,No,Data Science,True,3,True,Yes,Yes,4/8,6,10,8,Right-handed,On your back,False,0,3
First Year,No,Physics,False,1,False,Yes,No,8/8,7,7,6,Right-handed,On your right side,False,0,4
Third Year,I don't know,"Cognitive Science, Computer Science, Data Science, Statistics",True,4,True,Yes,Yes,4/12,2,3,7.5,Right-handed,On your right side,False,0,5
First Year,No,"Applied Math, Computer Science, Data Science",True,4,False,Yes,Yes,7/29,4,5,8,Right-handed,On your back,True,0,2
First Year,Yes,Computer Science,True,3,False,Yes,No,4/20,7,2,8,Right-handed,On your left side,True,2,3
Third Year,No,Statistics,True,3,False,Yes,Yes,6/7,3,1,7,Right-handed,On your right side,True,2,3
First Year,Yes,Data Science,True,2,True,Yes,Yes,5/21,8,9,7,Right-handed,On your right side,True,2,4
First Year,Yes,"Business, Economics, Molecular and Cell Biology, Public Health, Undecided",True,2,True,Yes,Yes,11/25,9,10,7,Right-handed,On your back,False,0,2
First Year,No,Industrial engineering and operations research,False,4,False,Yes,Yes,5/27,4,8,7.5,Left-handed,On your stomach,True,0,2
First Year,No,Data Science,True,3,True,Yes,Yes,9/7,5,5,7,Right-handed,On your right side,True,0,2
Third Year,I don't know,Cognitive Science,True,3,False,Yes,Yes,12/3,2,4,8,Right-handed,On your left side,True,4,3
First Year,No,Statistics,True,3,True,Yes,Yes,7/21,8,10,7,Right-handed,On your stomach,True,0,4
Second Year,Yes,"Cognitive Science, Data Science",False,1,True,Yes,Yes,11/23,5,17,8,Right-handed,On your stomach,True,5,2
First Year,No,Applied Math,True,5,True,Yes,Yes,11/11,4,7,7.5,Right-handed,On your back,True,2,2
Second Year,No,"Applied Math, Data Science",True,3,True,Yes,Yes,7/20,5,5,7,Right-handed,On your left side,False,0,2
First Year,No,Data Science,True,4,True,Yes,Yes,11/1,3,8,8,Right-handed,On your right side,True,2,2
Third Year,No,Data Science,True,4,True,Yes,Yes,8/28,5,4,8,Right-handed,On your back,True,0,2
Third Year,No,civil engineering,True,3,True,Yes,Yes,10/3,3,4,8,Right-handed,On your left side,True,2,4
First Year,No,Data Science,True,4,False,Yes,Yes,1/5,9,5,9,Right-handed,On your back,True,0,10
First Year,No,Data Science,True,4,True,Yes,Yes,12/13,8,2,7,Right-handed,On your left side,True,0,2
First Year,No,Applied Math,True,5,True,Yes,No,4/8,7,15,7,Right-handed,On your back,False,0,3
Third Year,Yes,Computer Science,True,3,False,Yes,I don't know,8/4,5,2,8,Right-handed,On your back,False,9,2
First Year,No,Data Science,True,4,True,Yes,Yes,3/1,8,15,7,Right-handed,On your stomach,False,2,4
First Year,No,Civil Engineering,True,3,False,Yes,Yes,6/7,8,11,7,Right-handed,On your right side,True,2,3
First Year,No,"Physics, Music",False,1,True,Yes,No,3/22,6,7,8,Right-handed,On your left side,True,0,1
Third Year,No,Statistics,False,1,True,Yes,Yes,7/26,2,2,7.5,Right-handed,On your right side,False,2,3
Third Year,Yes,civil engineering,False,1,False,Yes,Yes,3/4,4,5,7,Right-handed,On your left side,False,6,2
Third Year,No,Cognitive Science,True,3,True,Yes,Yes,9/14,4,4,6,Right-handed,On your right side,False,5,2
First Year,I don't know,Data Science,True,3,True,Yes,Yes,12/28,4,2,7,Right-handed,On your right side,False,0,9
Third Year,Yes,Civil Engineering,False,1,False,Yes,Yes,5/20,5,5,7,Right-handed,On your back,True,1,2
First Year,No,Computer Science,True,5,True,Yes,Yes,8/2,3,10,8,Right-handed,On your left side,True,0,3
First Year,Yes,Civil Engineering,False,2,False,Yes,Yes,3/28,3,2,7,Right-handed,On your back,False,4,2
First Year,No,Neuroscience,True,2,True,Yes,Yes,12/20,6,4,7,Right-handed,On your back,False,0,3
First Year,No,Data Science,True,4,True,Yes,Yes,7/20,7,10,7,Right-handed,On your right side,True,0,9
Second Year,Yes,Computer Science,True,3,False,Yes,Yes,2/25,4,4,8.5,Right-handed,On your left side,False,4,4
Second Year,Yes,Public Health,False,1,False,Yes,Yes,3/21,4,3,7,Right-handed,On your stomach,True,3,2
First Year,No,Data Science,True,3,False,Yes,Yes,8/18,6,3,8,Right-handed,On your back,True,0,2
First Year,No,"Data Science, Statistics",True,4,True,Yes,Yes,7/22,8,5,8,Right-handed,On your left side,False,2,2
Second Year,I don't know,Cognitive Science,True,3,True,Yes,Yes,7/21,4,3,7,Right-handed,On your right side,True,2,3
Fourth Year,Yes,Computer Science,True,5,False,Yes,No,1/5,4,7,6,Right-handed,On your stomach,True,0,6
First Year,No,Data Science,False,2,True,Maybe,Yes,6/15,7,8,5,Right-handed,On your left side,False,0,1
First Year,No,Data Science,True,3,True,Yes,Yes,3/5,8,6,8,Right-handed,On your right side,True,0,3
First Year,Yes,Civil Engineering,False,1,False,Yes,Yes,7/30,8,25,7,Right-handed,On your right side,True,0,4
Fourth Year,Yes,EECS,True,4,True,Yes,No,12/6,7,7,6,Right-handed,On your stomach,True,6,4
Third Year,Yes,Data Science,True,4,False,Yes,Yes,7/23,9,5,8,Right-handed,On your back,True,2,3
Second Year,No,"Business, Economics",False,1,True,Yes,No,9/2,9,8,8,Right-handed,On your left side,False,4,1
First Year,No,Data Science,True,2,True,Yes,Yes,10/25,8,15,8,Right-handed,On your back,False,0,1
First Year,I don't know,Economics,True,2,True,Yes,No,6/1,5,10,7,Right-handed,On your back,True,0,3
Second Year,No,Computer Science,True,4,True,Yes,I don't know,9/9,8,10,8,Left-handed,On your stomach,True,5,5
Second Year,Yes,Legal Studies,False,1,True,Yes,No,11/8,4,4,6,Right-handed,On your right side,False,10,3
Second Year,Yes,Molecular and Cell Biology,False,4,False,Yes,Yes,5/21,8,3,6,Right-handed,On your left side,False,4,3
First Year,I don't know,"Cognitive Science, Undecided",True,2,False,Yes,Yes,3/21,5,7,7.5,Right-handed,On your left side,False,0,8
Second Year,No,Applied Math,True,2,True,Yes,No,1/31,4,1,8,Right-handed,On your right side,False,0,2
First Year,No,Undecided,False,1,False,Yes,I don't know,12/14,5,5,8,Right-handed,On your back,True,0,2
First Year,No,Statistics,False,2,True,Yes,Yes,12/29,5,6,7,Right-handed,On your back,True,2,2
First Year,No,Data Science,True,2,True,Yes,Yes,5/24,4,6,6,Right-handed,On your right side,False,0,4
First Year,No,Civil Engineering,False,1,True,Yes,Yes,11/16,7,4,8,Right-handed,On your right side,True,0,1
Second Year,No,Computer Science,True,5,True,Yes,Yes,10/28,4,6,8,Right-handed,On your back,True,0,5
Third Year,Yes,Data Science,True,3,True,Yes,Yes,6/16,4,7,8,Right-handed,On your right side,True,2,3
Second Year,No,"Cognitive Science, Undecided",False,1,False,Yes,Yes,5/1,8,10,8,Right-handed,On your back,True,3,2
First Year,No,Applied Math,True,4,True,Yes,No,11/2,3,3,7,Right-handed,On your back,True,0,4
Third Year,Yes,Data Science,False,4,True,Yes,Yes,10/13,4,4,7,Right-handed,On your stomach,True,3,2
Fourth Year,No,Economics,False,3,False,Yes,No,8/18,3,2,8,Right-handed,On your stomach,False,0,4
First Year,Yes,"Business, Data Science",False,1,False,Yes,Yes,7/28,8,10,8,Right-handed,On your stomach,False,2,1
First Year,I don't know,"Data Science, Economics",True,3,True,Yes,Yes,4/11,7,4,8,Right-handed,On your right side,True,0,3
First Year,No,"Applied Math, Molecular and Cell Biology",True,3,True,Yes,No,3/16,7,10,7,Right-handed,On your left side,True,0,4
First Year,No,"Applied Math, Economics",False,2,True,Yes,Yes,12/25,8,10,7,Right-handed,On your left side,False,0,3
First Year,No,Neuroscience,True,3,True,Yes,Yes,1/8,8,10,7,Right-handed,On your right side,False,0,3
First Year,No,Statistics,False,2,True,Yes,Yes,4/6,8,6,7,Right-handed,On your right side,False,0,3
First Year,No,Data Science,False,2,True,Yes,Yes,2/12,3,3,8,Right-handed,On your back,False,0,2
Second Year,No,Physics,True,5,True,Yes,No,12/19,3,3,7.5,Right-handed,On your back,False,0,2
Third Year,No,"Economics, Psychology",False,2,True,No,No,10/12,7,5,6,Right-handed,On your stomach,False,2,4
First Year,No,"Cognitive Science, English",False,1,True,Yes,Yes,11/25,2,3,7,Right-handed,On your right side,True,2,4
First Year,No,Data Science,False,2,True,Yes,Yes,2/23,5,8,6.5,Right-handed,On your right side,False,0,4
Third Year,I don't know,Physics,True,4,False,Yes,Yes,8/21,3,2,7,Right-handed,On your right side,True,0,2
Second Year,I don't know,Molecular and Cell Biology,True,1,True,Yes,Yes,10/15,4,15,8,Right-handed,On your stomach,False,0,2
First Year,Yes,Data Science,False,1,True,Yes,Yes,2/8,7,4,7.5,Left-handed,On your back,False,0,2
First Year,No,Undecided,False,3,False,Yes,Yes,8/9,7,10,8,Right-handed,On your left side,True,0,3
Second Year,I don't know,legal studies,False,1,False,Yes,Yes,3/13,3,1,7,Right-handed,On your back,False,15,3
First Year,No,"Data Science, Economics",True,2,False,Yes,Yes,3/7,5,12,6.5,Right-handed,On your left side,False,1,3
Third Year,Yes,Cognitive Science,True,3,True,Yes,Yes,10/19,4,5,8,Right-handed,On your left side,True,2,2
Third Year,Yes,civil engineering ,False,1,False,Yes,Yes,7/4,6,4,8,Right-handed,On your left side,True,0,1
Second Year,No,Political Economy,False,2,True,Yes,Yes,12/10,7,4,7,Right-handed,On your back,False,0,3
First Year,No,Data Science,True,4,True,Yes,Yes,4/5,7,25,7.254,Right-handed,On your back,False,0,3
First Year,No,Civil Engineering,True,3,False,Yes,Yes,1/19,5,8,7,Right-handed,On your left side,True,9,1
First Year,No,Political Economy,False,2,True,Yes,Yes,9/18,8,20,9,Right-handed,On your left side,True,0,4
Third Year,No,Microbial Bio,True,4,True,Yes,Yes,6/3,4,4,8,Right-handed,On your left side,True,7,3
First Year,No,Data Science,True,3,False,Yes,Yes,12/9,6,8,6,Right-handed,On your left side,False,2,4
Second Year,No,"Economics, Public Health",True,1,True,Yes,Yes,3/6,4,7,5,Right-handed,On your right side,False,2,2
First Year,No,Applied Math,True,3,True,Yes,Yes,10/6,6,10,8,Right-handed,On your right side,False,0,2
Third Year,No,Applied Math,True,4,True,Yes,Yes,3/11,4,5,8,Right-handed,On your left side,False,0,2
First Year,No,Statistics,True,1,False,Yes,Yes,4/14,3,4,7,Right-handed,On your back,True,0,1
First Year,No,Data Science,True,4,False,Yes,Yes,3/5,2,6,9,Right-handed,On your right side,True,0,2
Second Year,I don't know,Public Health,False,1,False,Yes,Yes,8/2,4,5,7,Right-handed,On your stomach,True,2,3
First Year,No,Data Science,True,3,True,Yes,Yes,6/12,6,3,7,Right-handed,On your back,False,0,2
First Year,No,Undecided,True,3,False,Yes,Yes,4/15,5,7,7,Right-handed,On your right side,False,0,3
First Year,No,Business,True,2,True,Yes,Yes,7/28,7,10,7,Right-handed,On your back,False,0,3
First Year,Yes,Civil Engineering,False,1,False,Yes,Yes,8/4,8,8,8,Right-handed,On your stomach,True,4,5
First Year,Yes,Business,False,1,False,Yes,Yes,8/15,8,5,7,Right-handed,On your left side,True,2,2
First Year,No,Data Science,True,4,False,Yes,Yes,1/19,3,4,6,Right-handed,On your right side,False,0,2
First Year,No,"Data Science, Bioengineering",False,4,False,Yes,Yes,7/13,6,3,6.5,Right-handed,On your back,False,0,2
Second Year,No,"Business, Computer Science",True,4,True,Yes,Yes,7/1,7,5,7,Right-handed,On your left side,True,0,6
Third Year,No,Data Science,False,3,False,Yes,Yes,7/2,5,3,8,Right-handed,On your back,False,1,6
Fourth Year,Yes,Public Health,False,1,False,Yes,Yes,12/30,5,1,7,Right-handed,On your left side,True,0,2
Third Year,No,Data Science,True,2,False,Yes,Yes,2/2,4,4,7,Right-handed,On your left side,False,0,3
First Year,,"Data Science, Public Health",False,1,True,Yes,Yes,1/13,9,4,8,Right-handed,On your stomach,False,0,1
First Year,No,Data Science,True,3,False,Yes,Yes,1/16,6,12,7,Left-handed,On your right side,False,2,2
Second Year,Yes,chemical engineering,True,3,True,Yes,Yes,12/31,7,5,8,Right-handed,On your right side,True,6,4
First Year,No,Civil Engineering,True,1,False,Yes,Yes,6/22,7,6,7.5,Left-handed,On your stomach,False,0,5
Third Year,I don't know,Data Science,False,3,True,Yes,Yes,9/4,2,1,8,Right-handed,On your left side,False,0,4
First Year,No,"Applied Math, Data Science",True,4,True,Yes,Yes,9/28,4,8,8,Right-handed,On your right side,False,0,4
First Year,Yes,"Cognitive Science, Data Science, Chemical Engineering",False,1,False,Yes,No,2/8,5,6,9,Right-handed,On your right side,True,2,2
First Year,No,"Cognitive Science, Data Science",True,3,True,Yes,Yes,10/8,6,7,7.5,Right-handed,On your left side,True,0,2
First Year,Yes,Civil engineering ,True,2,True,Yes,Yes,3/30,4,6,9,Right-handed,On your stomach,True,6,3
First Year,No,Civil Engineering,True,2,False,Yes,Yes,1/26,6,7,5,Right-handed,On your stomach,True,1,3
First Year,No,Civil Engineering,False,1,False,Yes,Yes,1/10,7,8,8,Right-handed,On your right side,True,0,4
First Year,No,Data Science,True,3,True,Yes,Yes,11/17,7,5,8,Right-handed,On your back,False,2,2
Second Year,No,Undecided,False,1,False,Yes,Yes,6/28,1,1,7,Right-handed,On your left side,True,2,4
First Year,I don't know,Civil Engineering,True,4,True,Yes,Yes,6/12,3,9,7,Left-handed,On your back,False,2,2
First Year,I don't know,"Applied Math, Computer Science",True,4,False,Yes,Yes,7/31,3,10,8,Right-handed,On your back,False,0,5
First Year,Yes,Cognitive Science,False,1,False,Yes,Yes,2/23,3,4,8,Right-handed,On your stomach,True,2,3
First Year,No,Data Science,True,3,True,Yes,Yes,12/18,4,5,7,Right-handed,On your back,False,3,5
First Year,No,Statistics,True,4,True,Yes,Yes,1/19,5,2,7,Right-handed,On your back,True,0,2
Second Year,No,"Sociology, Music",False,1,True,Yes,No,3/2,7,11,8.5,Right-handed,On your back,True,5,2
First Year,No,"Economics, Statistics",True,3,True,Yes,Yes,9/8,5,3,7,Right-handed,On your back,False,0,1
First Year,I don't know,"Computer Science, Data Science",True,4,True,Yes,Yes,10/17,8,11,7,Right-handed,On your back,True,0,3
First Year,No,"Business, I might pursue a Minor or a Major in Data Science in addition to Business.",True,2,True,Yes,Yes,6/19,6,4,5.5,Right-handed,On your back,False,0,3
