Player,Salary Rank,Salary,Player Rank,Age,Team,Position,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Cameron Johnson,54,25679348,119,27,BRK,PF,58,4.3,2.4,0.8,0.3,1.0,13.4
Kyle Kuzma,55,25568182,36,28,WAS,PF,70,6.6,4.2,0.5,0.7,2.7,22.2
John Collins,56,25340000,96,26,UTA,PF,68,8.5,1.1,0.6,0.9,1.4,15.1
Brook Lopez,57,25000000,130,35,MIL,C,79,5.2,1.6,0.5,2.4,1.0,12.5
Mike Conley,58,24360000,148,36,MIN,PG,76,2.9,5.9,1.2,0.2,1.3,11.4
Andrew Wiggins,59,24330357,121,28,GSW,SF,71,4.5,1.7,0.6,0.6,1.2,13.2
Anfernee Simons,60,24107143,32,24,POR,SG,46,3.6,5.5,0.5,0.1,2.7,22.6
RJ Barrett,61,23883929,47,23,2TM,SG,58,5.4,3.3,0.5,0.4,2.2,20.2
Jordan Clarkson,62,23487629,72,31,UTA,SG,55,3.4,5.0,0.6,0.1,2.7,17.1
Terry Rozier,63,23205221,52,29,2TM,SG,61,4.0,5.6,1.0,0.3,1.7,19.8
Dillon Brooks,64,22627671,126,28,HOU,SF,72,3.4,1.7,0.9,0.1,1.2,12.7
Malcolm Brogdon,65,22500000,85,31,POR,PG,39,3.8,5.5,0.7,0.2,1.5,15.7
Draymond Green,66,22321429,210,33,GSW,PF,55,7.2,6.0,1.0,0.9,2.5,8.6
Bruce Brown,67,22000000,164,27,IND,SG,33,4.7,3.0,1.1,0.2,1.2,12.1
Mikal Bridges,68,21700000,54,27,BRK,SF,82,4.5,3.6,1.0,0.4,2.0,19.6
Aaron Gordon,69,21266182,109,28,DEN,PF,73,6.5,3.5,0.8,0.6,1.4,13.9
Myles Turner,70,20975000,73,27,IND,C,77,6.9,1.3,0.5,1.9,1.4,17.1
Clint Capela,71,20616000,147,29,ATL,C,73,10.6,1.2,0.6,1.5,1.0,11.5
Spencer Dinwiddie,73,20411797,168,30,BRK,PG,48,3.3,6.0,0.8,0.2,1.3,12.6
De'Andre Hunter,74,20089286,88,26,ATL,SF,57,3.9,1.5,0.7,0.3,1.5,15.6
Jarrett Allen,75,20000000,79,25,CLE,C,77,10.5,2.7,0.7,1.1,1.6,16.5
Keldon Johnson,75,20000000,86,24,SAS,SF,69,5.5,2.8,0.7,0.3,1.4,15.7
Joe Harris,78,19928571,478,32,DET,SG,16,0.8,0.6,0.2,0.1,0.3,2.4
Jakob Poeltl,79,19500000,153,28,TOR,C,50,8.6,2.5,0.7,1.5,1.5,11.1
Buddy Hield,80,19321859,139,31,PHI,SG,32,3.2,3.0,0.8,0.3,1.3,12.2
Derrick White,81,18857143,95,29,BOS,SG,73,4.2,5.2,1.0,1.2,1.5,15.2
Evan Fournier,81,18857143,259,31,DET,SG,29,1.9,1.6,0.9,0.2,0.7,7.2
OG Anunoby,84,18642857,99,26,2TM,SF,50,4.2,2.1,1.4,0.7,1.6,14.7
Marcus Smart,85,18583713,103,29,MEM,PG,20,2.7,4.3,2.1,0.3,3.1,14.5
Gary Trent Jr,86,18560000,115,25,TOR,SG,71,2.6,1.7,1.1,0.1,0.7,13.7
Dejounte Murray,88,18214000,34,27,ATL,SG,78,5.3,6.4,1.4,0.3,2.6,22.5
Duncan Robinson,89,18154000,125,29,MIA,SF,68,2.5,2.8,0.7,0.2,1.4,12.9
Norman Powell,90,18000000,110,30,LAC,SG,76,2.6,1.1,0.6,0.3,0.9,13.9
Tim Hardaway Jr,91,17897728,104,31,DAL,SF,79,3.2,1.8,0.5,0.1,0.9,14.4
Marcus Morris,92,17612280,286,34,CLE,PF,12,2.1,0.8,0.2,0.2,0.9,5.8
Collin Sexton,93,17525000,62,25,UTA,SG,78,2.6,4.9,0.8,0.2,2.1,18.7
Jonathan Isaac,94,17400000,269,26,ORL,PF,58,4.5,0.5,0.7,1.2,0.5,6.8
D'Angelo Russell,95,17307693,65,27,LAL,PG,76,3.1,6.3,0.9,0.5,2.1,18.0
Lauri Markkanen,96,17259999,26,26,UTA,PF,55,8.2,2.0,0.9,0.5,1.4,23.2
Harrison Barnes,97,17000000,133,31,SAC,PF,82,3.0,1.2,0.7,0.1,0.7,12.2
Markelle Fultz,97,17000000,232,25,ORL,PG,43,3.2,2.8,1.0,0.3,1.2,7.8
Rui Hachimura,103,15740741,116,25,LAL,PF,68,4.3,1.2,0.6,0.4,0.7,13.6
Mitchell Robinson,104,15681818,313,25,NYK,C,31,8.5,0.6,1.2,1.1,0.8,5.6
Kevin Huerter,105,15669643,174,25,SAC,SG,64,3.5,2.6,0.7,0.4,0.8,10.2
Caris LeVert,107,15384616,108,29,CLE,SG,68,4.1,5.1,1.1,0.5,1.7,14.0
Luguentz Dort,108,15277778,160,24,OKC,SF,79,3.6,1.4,0.9,0.6,0.9,10.9
Luke Kennard,109,14763636,159,27,MEM,SG,39,2.9,3.5,0.5,0.1,1.4,11.0
Kentavious Caldwell-Pope,110,14704938,178,30,DEN,SG,76,2.4,2.4,1.3,0.6,1.0,10.1
Max Strus,111,14487684,137,27,CLE,SF,70,4.8,4.0,0.9,0.4,1.6,12.2
Reggie Bullock,112,14210528,489,32,HOU,SF,44,1.7,0.3,0.3,0.1,0.2,2.2
Doug McDermott,113,14000000,315,32,IND,SF,18,0.6,0.7,0.3,0.0,0.2,4.2
Tyus Jones,113,14000000,140,27,WAS,PG,66,2.7,7.3,1.1,0.3,1.0,12.0
Dorian Finney-Smith,115,13932008,214,30,BRK,PF,68,4.7,1.6,0.8,0.6,0.9,8.5
Anthony Edwards,116,13534817,13,22,MIN,SG,79,5.4,5.1,1.3,0.5,3.1,25.9
Wendell Carter,117,13050000,156,24,ORL,C,55,6.9,1.7,0.6,0.5,1.2,11.0
Gary Harris,118,13000000,260,29,ORL,SG,54,1.7,1.6,0.9,0.3,0.6,6.9
Josh Hart,119,12960000,194,28,NYK,SF,81,8.3,4.1,0.9,0.3,1.5,9.4
Naz Reid,120,12950400,118,24,MIN,C,81,5.2,1.3,0.8,0.9,1.4,13.5
Brandon Clarke,122,12500000,150,27,MEM,PF,6,5.3,1.5,0.8,1.0,0.5,11.3
Grant Williams,124,12405000,172,25,CHO,PF,29,5.1,3.2,0.7,0.4,1.9,13.9
Daniel Gafford,126,12402000,155,25,DAL,PF,29,6.9,1.6,0.7,1.9,1.0,11.2
Kelly Olynyk,127,12195122,188,32,TOR,C,28,5.6,4.6,1.3,0.6,2.5,12.7
Victor Wembanyama,128,12160632,39,20,SAS,C,71,10.6,3.9,1.2,3.6,3.7,21.4
James Wiseman,129,12119440,254,22,DET,C,63,5.3,0.9,0.2,0.6,1.0,7.1
Richaun Holmes,131,12046020,341,30,WAS,PF,17,6.1,0.6,0.5,0.6,0.7,7.1
Austin Reaves,132,12015150,83,25,LAL,SG,82,4.3,5.5,0.8,0.3,2.1,15.9
Chris Boucher,134,11750000,288,31,TOR,PF,50,4.1,0.5,0.3,0.5,0.6,6.4
Bobby Portis,135,11710818,112,28,MIL,PF,82,7.4,1.3,0.8,0.4,1.1,13.8
Nicolas Batum,135,11710818,329,35,PHI,PF,57,4.2,2.2,0.8,0.6,0.7,5.5
Robert Covington,137,11692308,368,33,PHI,SF,26,3.4,0.7,1.3,0.6,0.4,4.5
Paolo Banchero,138,11608080,30,21,ORL,PF,80,6.9,5.4,0.9,0.6,3.1,22.6
Robert Williams,139,11571429,273,26,POR,C,6,6.3,0.8,1.2,1.2,1.2,6.8
Coby White,140,11111111,60,23,CHI,PG,79,4.5,5.1,0.7,0.2,2.1,19.1
Cade Cunningham,141,11055360,29,22,DET,PG,62,4.3,7.5,0.9,0.4,3.4,22.7
Talen Horton-Tucker,142,11020000,180,23,UTA,PG,51,2.4,3.5,0.9,0.4,1.3,10.1
PJ Tucker,143,11014500,511,38,LAC,PF,28,2.5,0.6,0.5,0.2,0.2,1.6
Joe Ingles,144,11000000,373,36,ORL,SF,68,2.1,3.0,0.6,0.1,1.0,4.4
Maxi Kleber,144,11000000,374,32,DAL,C,43,3.3,1.6,0.4,0.7,0.7,4.4
Ivica Zubac,146,10933333,144,26,LAC,C,68,9.2,1.4,0.3,1.2,1.2,11.7
LaMelo Ball,147,10900635,23,22,CHO,PG,22,5.1,8.0,1.8,0.2,3.8,23.9
Donte DiVincenzo,148,10900000,89,27,NYK,SG,81,3.7,2.7,1.3,0.4,1.4,15.5
Brandon Miller,149,10880364,70,21,CHO,SF,74,4.3,2.4,0.9,0.6,1.8,17.3
Terance Mann,150,10576923,208,27,LAC,SG,75,3.4,1.6,0.6,0.2,0.6,8.8
Gabe Vincent,151,10500000,451,27,LAL,PG,11,0.8,1.9,0.8,0.0,0.5,3.1
Matisse Thybulle,151,10500000,324,26,POR,SF,65,2.1,1.4,1.7,0.8,0.6,5.4
Alec Burks,153,10489600,170,32,DET,SG,43,2.6,1.6,0.5,0.3,0.7,12.6
Chet Holmgren,154,10386000,80,21,OKC,C,82,7.9,2.4,0.6,2.3,1.6,16.5
Larry Nance Jr,155,10375000,310,31,NOP,C,61,5.0,1.9,1.0,0.3,0.8,5.7
Landry Shamet,156,10250000,253,26,WAS,SG,46,1.3,1.2,0.5,0.2,0.7,7.1
Al Horford,157,10000000,211,37,BOS,C,65,6.4,2.6,0.6,1.0,0.7,8.6
Malik Monk,158,9945830,91,25,SAC,SG,72,2.9,5.1,0.6,0.5,2.1,15.4
Tre Jones,159,9895833,181,24,SAS,PG,77,3.8,6.2,1.0,0.1,1.5,10.0
Jalen Green,160,9891480,55,21,HOU,SG,82,5.2,3.5,0.8,0.3,2.3,19.6
Patrick Williams,161,9835881,183,22,CHI,PF,43,3.9,1.5,0.9,0.8,1.3,10.0
Monte Morris,162,9800926,342,28,MIN,PG,27,1.7,2.3,0.7,0.3,0.2,5.1
Scoot Henderson,163,9770904,107,19,POR,PG,62,3.1,5.4,0.8,0.2,3.4,14.0
Royce O'Neale,165,9500000,235,30,PHO,SF,30,5.2,2.7,0.9,0.5,0.7,8.1
Alex Caruso,166,9460000,179,29,CHI,SG,71,3.8,3.5,1.7,1.0,1.4,10.1
Pat Connaughton,168,9423869,311,31,MIL,SF,76,3.1,2.1,0.5,0.3,0.6,5.6
Cameron Payne,169,9391467,242,29,PHI,PG,31,1.8,3.1,0.6,0.3,1.1,9.3
Jabari Smith,170,9326520,114,20,HOU,PF,76,8.1,1.6,0.7,0.8,1.2,13.7
Isaiah Hartenstein,171,9245121,233,25,NYK,C,75,8.3,2.5,1.2,1.1,1.2,7.8
Kyle Anderson,172,9219512,287,30,MIN,PF,79,3.5,4.2,0.9,0.6,1.2,6.4
Daniel Theis,173,9108387,291,31,LAC,C,59,4.1,1.0,0.4,0.9,0.7,6.3
Thaddeus Young,174,9010371,384,35,PHO,PF,10,2.8,0.7,0.5,0.2,0.4,2.3
Grayson Allen,175,8925000,117,28,PHO,SG,75,3.9,3.0,0.9,0.6,1.3,13.5
Isaac Okoro,176,8920794,196,23,CLE,SF,69,3.0,1.9,0.8,0.5,0.8,9.4
Evan Mobley,177,8882640,87,22,CLE,PF,50,9.4,3.2,0.9,1.4,1.8,15.7
Amen Thompson,178,8809284,193,21,HOU,SF,62,6.6,2.6,1.3,0.6,1.5,9.5
Georges Niang,179,8800000,195,30,CLE,PF,82,3.4,1.2,0.4,0.2,0.9,9.4
Gary Payton II,180,8715000,317,31,GSW,SG,44,2.6,1.1,0.9,0.4,0.6,5.5
Keegan Murray,182,8409000,94,23,SAC,SF,77,5.5,1.7,1.0,0.8,0.8,15.2
Delon Wright,183,8195122,362,31,MIA,PG,14,1.9,2.6,1.4,0.2,0.2,5.4
Onyeka Okongwu,184,8109063,177,23,ATL,C,55,6.8,1.3,0.5,1.1,0.8,10.2
Scottie Barnes,185,8008680,51,22,TOR,SG,60,8.2,6.1,1.3,1.5,2.8,19.9
De'Anthony Melton,186,8000000,152,25,PHI,SG,38,3.7,3.0,1.6,0.4,1.0,11.1
Jeff Green,186,8000000,284,37,HOU,PF,78,2.3,0.9,0.2,0.4,0.6,6.5
Jock Landale,186,8000000,350,28,HOU,C,56,3.1,1.2,0.4,0.6,0.6,4.9
Moritz Wagner,186,8000000,163,26,ORL,C,80,4.3,1.2,0.5,0.3,1.2,10.9
Trey Lyles,186,8000000,250,28,SAC,PF,58,4.4,1.2,0.3,0.3,0.7,7.2
Ausar Thompson,191,7977420,209,21,DET,SF,63,6.4,1.9,1.1,0.9,1.3,8.8
Miles Bridges,192,7921300,42,25,CHO,SF,69,7.3,3.3,0.9,0.5,2.0,21.0
Danilo Gallinari,193,7850062,307,35,MIL,SF,17,1.1,0.7,0.4,0.1,0.6,2.8
Paul Reed,194,7723000,246,24,PHI,C,82,6.0,1.3,0.8,1.0,0.8,7.3
Zach Collins,196,7700000,151,26,SAS,C,69,5.4,2.8,0.5,0.8,1.9,11.2
Jaden Ivey,197,7614480,90,21,DET,SG,77,3.4,3.8,0.7,0.5,2.5,15.4
Cody Martin,198,7560000,240,28,CHO,SF,28,3.9,3.7,1.1,0.6,1.6,7.5
Kevon Looney,200,7500000,364,27,GSW,C,74,5.7,1.8,0.4,0.4,0.7,4.5
Killian Hayes,201,7413955,261,22,DET,PG,42,2.8,4.9,0.9,0.5,1.2,6.9
Jalen Suggs,202,7252080,128,22,ORL,SG,75,3.1,2.7,1.4,0.6,1.8,12.6
Anthony Black,203,7245480,358,20,ORL,PG,69,2.0,1.3,0.5,0.3,0.8,4.6
Jae'Sean Tate,204,7000000,394,28,HOU,SF,65,3.0,1.0,0.6,0.2,0.6,4.1
Bennedict Mathurin,206,6916080,102,21,IND,SF,59,4.0,2.0,0.6,0.2,1.6,14.5
Obi Toppin,207,6803012,173,25,IND,PF,82,3.9,1.6,0.6,0.5,0.8,10.3
Caleb Martin,208,6802950,182,28,MIA,SF,64,4.4,2.2,0.7,0.5,1.2,10.0
Cedi Osman,209,6718842,270,28,SAS,SF,72,2.5,1.7,0.5,0.2,0.7,6.8
Bilal Coulibaly,210,6614256,216,19,WAS,SF,63,4.1,1.7,0.9,0.8,1.4,8.4
Josh Giddey,211,6587040,131,21,OKC,SG,80,6.4,4.8,0.6,0.6,2.1,12.3
Ayo Dosunmu,212,6481482,134,24,CHI,SG,76,2.8,3.2,0.9,0.5,1.4,12.2
Sasha Vezenkov,214,6341464,325,28,SAC,PF,42,2.3,0.5,0.5,0.2,0.3,5.4
Shaedon Sharpe,215,6313800,84,20,POR,SG,32,5.0,2.9,0.9,0.4,2.3,15.9
Otto Porter,216,6300000,468,30,TOR,SF,15,1.9,0.5,0.3,0.3,0.1,2.6
Deni Avdija,217,6263188,100,23,WAS,SF,75,7.2,3.8,0.8,0.5,2.1,14.7
Nassir Little,218,6250000,432,23,PHO,SF,45,1.7,0.5,0.2,0.2,0.3,3.4
Bismack Biyombo,219,6194075,367,31,OKC,C,10,1.8,0.2,0.1,0.3,0.4,1.8
Jevon Carter,220,6190476,344,28,CHI,PG,72,0.8,1.3,0.5,0.2,0.5,5.0
Kenrich Williams,221,6175000,356,29,OKC,PF,69,3.0,1.3,0.6,0.1,0.5,4.7
Jarace Walker,222,6059460,421,20,IND,PF,33,1.9,1.2,0.5,0.3,0.5,3.6
Jonathan Kuminga,223,6012840,81,21,GSW,PF,74,4.8,2.2,0.7,0.5,1.6,16.1
Devin Vassell,224,5887899,57,23,SAS,SG,68,3.8,4.1,1.1,0.3,1.6,19.5
Tyrese Haliburton,225,5808435,48,23,IND,PG,69,3.9,10.9,1.2,0.7,2.3,20.1
Dyson Daniels,226,5784120,306,20,NOP,PG,61,3.9,2.7,1.4,0.4,1.0,5.8
Kira Lewis,227,5722116,442,22,UTA,PG,12,1.0,1.6,0.3,0.1,0.5,3.8
Dean Wade,228,5709877,326,27,CLE,PF,54,4.0,0.8,0.7,0.5,0.4,5.4
Aaron Nesmith,229,5634257,136,24,IND,SF,72,3.8,1.5,0.9,0.7,0.9,12.2
Aleksej Pokusevski,230,5574809,334,22,CHO,PF,18,4.4,1.7,0.8,0.7,0.9,7.4
Taylor Hendricks,231,5569872,245,20,UTA,PF,40,4.6,0.8,0.7,0.8,0.7,7.3
Shake Milton,232,5552938,361,27,NYK,SG,6,1.0,0.7,0.2,0.0,0.0,1.8
JaVale McGee,233,5544772,402,36,SAC,C,46,2.7,0.4,0.3,0.4,0.7,4.0
Cole Anthony,234,5539771,145,23,ORL,PG,81,3.8,2.9,0.8,0.5,1.6,11.6
Franz Wagner,235,5508720,53,22,ORL,SF,72,5.3,3.7,1.1,0.4,1.9,19.7
Furkan Korkmaz,236,5370370,472,26,PHI,SG,35,0.9,0.7,0.4,0.1,0.3,2.5
Jeremy Sochan,238,5316960,146,20,SAS,PF,74,6.4,3.4,0.8,0.5,1.9,11.6
Cason Wallace,239,5291352,272,20,OKC,SG,82,2.3,1.5,0.9,0.5,0.5,6.8
Isaiah Stewart,240,5266713,162,22,DET,PF,46,6.6,1.6,0.4,0.8,1.4,10.9
Chuma Okeke,241,5266712,484,25,ORL,SF,47,1.7,0.4,0.2,0.1,0.3,2.3
Davion Mitchell,242,5063640,331,25,SAC,PG,72,1.3,1.9,0.2,0.0,0.6,5.3
Johnny Davis,243,5050800,453,21,WAS,SG,50,1.4,0.6,0.4,0.2,0.3,3.0
Jalen Smith,244,5043773,186,23,IND,C,61,5.5,1.0,0.3,0.6,0.7,9.9
Jett Howard,245,5026824,517,20,ORL,SF,18,0.4,0.3,0.1,0.1,0.2,1.6
Mason Plumlee,246,5000000,332,33,LAC,C,46,5.1,1.2,0.3,0.4,0.8,5.3
Reggie Jackson,246,5000000,175,33,DEN,PG,82,1.9,3.8,0.5,0.2,1.3,10.2
Ziaire Williams,248,4810200,222,22,MEM,SF,51,3.5,1.5,0.7,0.2,1.3,8.2
Ousmane Dieng,249,4798440,397,20,OKC,PF,33,1.5,1.1,0.2,0.2,0.6,4.0
Taj Gibson,250,4776302,510,38,DET,PF,4,2.3,0.5,0.3,0.3,0.0,4.5
Josh Green,252,4765339,220,23,DAL,SG,57,3.2,2.3,0.8,0.2,1.1,8.2
Nickeil Alexander-Walker,253,4687500,226,25,MIN,SG,82,2.0,2.5,0.8,0.5,0.9,8.0
Jarred Vanderbilt,254,4640000,337,24,LAL,PF,29,4.8,1.2,1.2,0.2,1.0,5.2
James Bouknight,255,4570080,418,23,CHO,SG,14,0.6,0.4,0.1,0.1,0.1,3.6
Jalen Williams,256,4558680,61,22,OKC,PF,71,4.0,4.5,1.1,0.6,1.7,19.1
Saddiq Bey,257,4556983,113,24,ATL,SF,63,6.5,1.5,0.8,0.2,0.9,13.7
Gradey Dick,258,4536708,213,20,TOR,SG,60,2.2,1.1,0.6,0.0,0.8,8.5
Jalen McDaniels,259,4516000,433,26,TOR,SF,50,1.6,0.7,0.4,0.1,0.6,3.4
Taurean Prince,259,4516000,204,29,LAL,PF,78,2.9,1.5,0.7,0.4,0.9,8.9
Precious Achiuwa,261,4379526,238,24,NYK,PF,49,7.2,1.1,0.6,1.1,1.1,7.6
Tyrese Maxey,262,4343920,14,23,PHI,PG,70,3.7,6.2,1.0,0.5,1.7,25.9
Jalen Duren,263,4330680,111,20,DET,C,61,11.6,2.4,0.5,0.8,2.1,13.8
Danuel House,264,4310250,390,30,PHI,SF,34,1.7,0.8,0.4,0.1,0.6,4.2
Jordan Hawkins,265,4310196,234,21,NOP,SG,67,2.2,1.0,0.3,0.1,0.6,7.8
Mike Muscala,266,4308297,452,32,OKC,C,16,1.3,0.3,0.1,0.1,0.3,1.1
Zeke Nnaji,267,4306281,445,23,DEN,PF,58,2.2,0.6,0.3,0.7,0.5,3.2
Immanuel Quickley,268,4171548,74,24,2TM,SG,68,3.8,4.9,0.7,0.1,1.5,17.0
Chris Duarte,269,4124400,408,26,SAC,SF,59,1.8,0.7,0.5,0.1,0.4,3.9
Ochai Agbaji,270,4114200,304,23,TOR,SG,27,3.3,1.3,0.7,0.6,1.1,6.7
Kobe Bufkin,271,4094244,353,20,ATL,SG,17,1.9,1.6,0.4,0.3,0.6,4.8
Payton Pritchard,272,4037277,192,26,BOS,PG,82,3.2,3.4,0.5,0.1,0.7,9.6
Dwight Powell,273,4000000,437,32,DAL,C,63,3.4,1.3,0.4,0.3,0.5,3.3
Seth Curry,273,4000000,338,33,CHO,SG,8,2.0,1.8,0.6,0.4,0.6,9.0
Troy Brown,273,4000000,387,24,DET,SF,22,3.3,1.1,0.7,0.0,0.5,4.2
Moses Moody,276,3918480,225,21,GSW,SG,66,3.0,0.9,0.6,0.4,0.7,8.1
Mark Williams,277,3908160,127,22,CHO,C,19,9.7,1.2,0.8,1.1,0.9,12.7
Jaden McDaniels,278,3901399,169,23,MIN,SF,72,3.1,1.4,0.9,0.6,1.2,10.5
Keyonte George,279,3889776,122,20,UTA,PG,75,2.8,4.4,0.5,0.1,2.5,13.0
Malachi Flynn,280,3873024,314,25,DET,PG,24,1.8,2.1,0.8,0.1,1.1,8.0
Desmond Bane,281,3845083,24,25,MEM,SG,42,4.4,5.5,1.0,0.5,2.7,23.7
James Johnson,282,3839412,549,36,IND,PF,9,0.4,0.9,0.6,0.1,0.6,0.9
Kevin Love,283,3835738,207,35,MIA,PF,55,6.1,2.1,0.3,0.2,0.9,8.8
Russell Westbrook,283,3835738,154,35,LAC,PG,68,5.0,4.5,1.1,0.3,2.1,11.1
Corey Kispert,286,3722040,120,24,WAS,SF,80,2.8,2.0,0.5,0.2,1.2,13.4
AJ Griffin,287,3712920,476,20,ATL,SF,20,0.9,0.3,0.1,0.1,0.4,2.4
Jalen Hood-Schifino,288,3695076,516,20,LAL,SG,21,0.6,0.4,0.1,0.1,0.4,1.6
Amir Coffey,289,3666667,277,26,LAC,SF,70,2.1,1.1,0.6,0.2,0.5,6.6
Alperen Sengun,290,3536280,41,21,HOU,C,63,9.3,5.0,1.2,0.7,2.6,21.1
Tari Eason,291,3527160,189,22,HOU,PF,22,7.0,1.2,1.4,0.9,0.9,9.8
Jaime Jaquez,292,3510540,141,22,MIA,SF,75,3.8,2.6,1.0,0.3,1.5,11.9
Andre Drummond,293,3360000,217,30,CHI,C,79,9.0,0.5,0.9,0.6,1.0,8.4
Brandin Podziemski,295,3352404,201,20,GSW,SG,74,5.8,3.7,0.8,0.2,1.2,9.2
Dalen Terry,296,3350760,450,21,CHI,SG,59,1.9,1.4,0.5,0.3,0.5,3.1
Keon Johnson,297,3342765,295,21,BRK,SG,5,1.4,0.6,0.6,0.2,1.0,6.2
Jake LaRavia,299,3199920,165,22,MEM,PF,35,3.7,1.7,0.8,0.3,1.3,10.8
